t mart.s0 mart.sn aus1.s0 aus1.sn fer1.s0 fer1.sn aus2.s0 aus2.sn fer2.s0 fer2.sn
0.000000e+00 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.302615e-01 -3.302615e-01 -3.297385e-01 -3.297385e-01 -2.615337e-04 -2.615337e-04 0.000000e+00
5.000250e-03 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.305230e-01 -3.305230e-01 -3.294769e-01 -3.294769e-01 -5.230674e-04 -5.230674e-04 0.000000e+00
1.000050e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.307820e-01 -3.307820e-01 -3.292179e-01 -3.292179e-01 -7.833450e-04 -7.833450e-04 0.000000e+00
1.500075e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.310361e-01 -3.310361e-01 -3.289638e-01 -3.289638e-01 -1.041099e-03 -1.041099e-03 0.000000e+00
2.000100e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.312832e-01 -3.312832e-01 -3.287168e-01 -3.287168e-01 -1.295188e-03 -1.295188e-03 0.000000e+00
2.500125e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.315216e-01 -3.315216e-01 -3.284784e-01 -3.284784e-01 -1.544534e-03 -1.544534e-03 0.000000e+00
3.000150e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.317504e-01 -3.317504e-01 -3.282496e-01 -3.282496e-01 -1.788266e-03 -1.788266e-03 0.000000e+00
3.500175e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.319692e-01 -3.319692e-01 -3.280308e-01 -3.280308e-01 -2.025664e-03 -2.025664e-03 0.000000e+00
4.000200e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.321782e-01 -3.321782e-01 -3.278217e-01 -3.278217e-01 -2.256213e-03 -2.256213e-03 0.000000e+00
4.500225e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.323780e-01 -3.323780e-01 -3.276218e-01 -3.276218e-01 -2.479613e-03 -2.479613e-03 0.000000e+00
5.000250e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.325698e-01 -3.325698e-01 -3.274300e-01 -3.274300e-01 -2.695703e-03 -2.695703e-03 0.000000e+00
5.500275e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.327545e-01 -3.327545e-01 -3.272452e-01 -3.272452e-01 -2.904579e-03 -2.904579e-03 0.000000e+00
6.000300e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.329331e-01 -3.329331e-01 -3.270664e-01 -3.270664e-01 -3.106423e-03 -3.106423e-03 0.000000e+00
6.500325e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.331067e-01 -3.331067e-01 -3.268927e-01 -3.268927e-01 -3.301571e-03 -3.301571e-03 0.000000e+00
7.000350e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.332759e-01 -3.332759e-01 -3.267234e-01 -3.267234e-01 -3.490425e-03 -3.490425e-03 0.000000e+00
7.500375e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.334413e-01 -3.334413e-01 -3.265579e-01 -3.265579e-01 -3.673438e-03 -3.673438e-03 0.000000e+00
8.000400e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.336033e-01 -3.336033e-01 -3.263958e-01 -3.263958e-01 -3.851079e-03 -3.851079e-03 0.000000e+00
8.500425e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.337623e-01 -3.337623e-01 -3.262367e-01 -3.262367e-01 -4.023814e-03 -4.023814e-03 0.000000e+00
9.000450e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.339184e-01 -3.339184e-01 -3.260804e-01 -3.260804e-01 -4.192033e-03 -4.192033e-03 0.000000e+00
9.500475e-02 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.340720e-01 -3.340720e-01 -3.259268e-01 -3.259268e-01 -4.356116e-03 -4.356116e-03 0.000000e+00
1.000050e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.342231e-01 -3.342231e-01 -3.257756e-01 -3.257756e-01 -4.516386e-03 -4.516386e-03 0.000000e+00
1.050053e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.343718e-01 -3.343718e-01 -3.256269e-01 -3.256269e-01 -4.673169e-03 -4.673169e-03 0.000000e+00
1.100055e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.345182e-01 -3.345182e-01 -3.254805e-01 -3.254805e-01 -4.826743e-03 -4.826743e-03 0.000000e+00
1.150058e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.346623e-01 -3.346623e-01 -3.253363e-01 -3.253363e-01 -4.977330e-03 -4.977330e-03 0.000000e+00
1.200060e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.348043e-01 -3.348043e-01 -3.251943e-01 -3.251943e-01 -5.125080e-03 -5.125080e-03 0.000000e+00
1.250063e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.349442e-01 -3.349442e-01 -3.250544e-01 -3.250544e-01 -5.270181e-03 -5.270181e-03 0.000000e+00
1.300065e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.350821e-01 -3.350821e-01 -3.249166e-01 -3.249166e-01 -5.412767e-03 -5.412767e-03 0.000000e+00
1.350068e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.352180e-01 -3.352180e-01 -3.247807e-01 -3.247807e-01 -5.552957e-03 -5.552957e-03 0.000000e+00
1.400070e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.353520e-01 -3.353520e-01 -3.246468e-01 -3.246468e-01 -5.690872e-03 -5.690872e-03 0.000000e+00
1.450073e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.354840e-01 -3.354840e-01 -3.245148e-01 -3.245148e-01 -5.826607e-03 -5.826607e-03 0.000000e+00
1.500075e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.356143e-01 -3.356143e-01 -3.243847e-01 -3.243847e-01 -5.960236e-03 -5.960236e-03 0.000000e+00
1.550078e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.357427e-01 -3.357427e-01 -3.242563e-01 -3.242563e-01 -6.091847e-03 -6.091847e-03 0.000000e+00
1.600080e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.358695e-01 -3.358695e-01 -3.241297e-01 -3.241297e-01 -6.221517e-03 -6.221517e-03 0.000000e+00
1.650083e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.359945e-01 -3.359945e-01 -3.240047e-01 -3.240047e-01 -6.349298e-03 -6.349298e-03 0.000000e+00
1.700085e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.361179e-01 -3.361179e-01 -3.238815e-01 -3.238815e-01 -6.475244e-03 -6.475244e-03 0.000000e+00
1.750088e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.362396e-01 -3.362396e-01 -3.237598e-01 -3.237598e-01 -6.599421e-03 -6.599421e-03 0.000000e+00
1.800090e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.363599e-01 -3.363599e-01 -3.236398e-01 -3.236398e-01 -6.721890e-03 -6.721890e-03 0.000000e+00
1.850093e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.364785e-01 -3.364785e-01 -3.235213e-01 -3.235213e-01 -6.842699e-03 -6.842699e-03 0.000000e+00
1.900095e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.365957e-01 -3.365957e-01 -3.234042e-01 -3.234042e-01 -6.961872e-03 -6.961872e-03 0.000000e+00
1.950098e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.367114e-01 -3.367114e-01 -3.232887e-01 -3.232887e-01 -7.079466e-03 -7.079466e-03 0.000000e+00
2.000100e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.368257e-01 -3.368257e-01 -3.231745e-01 -3.231745e-01 -7.195534e-03 -7.195534e-03 0.000000e+00
2.050103e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.369386e-01 -3.369386e-01 -3.230618e-01 -3.230618e-01 -7.310124e-03 -7.310124e-03 0.000000e+00
2.100105e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.370501e-01 -3.370501e-01 -3.229504e-01 -3.229504e-01 -7.423276e-03 -7.423276e-03 0.000000e+00
2.150108e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.371604e-01 -3.371604e-01 -3.228403e-01 -3.228403e-01 -7.535013e-03 -7.535013e-03 0.000000e+00
2.200110e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.372693e-01 -3.372693e-01 -3.227316e-01 -3.227316e-01 -7.645381e-03 -7.645381e-03 0.000000e+00
2.250113e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.373770e-01 -3.373770e-01 -3.226240e-01 -3.226240e-01 -7.754423e-03 -7.754423e-03 0.000000e+00
2.300115e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.374835e-01 -3.374835e-01 -3.225177e-01 -3.225177e-01 -7.862179e-03 -7.862179e-03 0.000000e+00
2.350118e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.375888e-01 -3.375888e-01 -3.224126e-01 -3.224126e-01 -7.968686e-03 -7.968686e-03 0.000000e+00
2.400120e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.376930e-01 -3.376930e-01 -3.223086e-01 -3.223086e-01 -8.073978e-03 -8.073978e-03 0.000000e+00
2.450123e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.377960e-01 -3.377960e-01 -3.222057e-01 -3.222057e-01 -8.178088e-03 -8.178088e-03 0.000000e+00
2.500125e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.378980e-01 -3.378980e-01 -3.221040e-01 -3.221040e-01 -8.281049e-03 -8.281049e-03 0.000000e+00
2.550128e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.379988e-01 -3.379988e-01 -3.220033e-01 -3.220033e-01 -8.382895e-03 -8.382895e-03 0.000000e+00
2.600130e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.380987e-01 -3.380987e-01 -3.219036e-01 -3.219036e-01 -8.483655e-03 -8.483655e-03 0.000000e+00
2.650133e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.381975e-01 -3.381975e-01 -3.218049e-01 -3.218049e-01 -8.583360e-03 -8.583360e-03 0.000000e+00
2.700135e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.382954e-01 -3.382954e-01 -3.217073e-01 -3.217073e-01 -8.682035e-03 -8.682035e-03 0.000000e+00
2.750138e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.383922e-01 -3.383922e-01 -3.216106e-01 -3.216106e-01 -8.779710e-03 -8.779710e-03 0.000000e+00
2.800140e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.384881e-01 -3.384881e-01 -3.215149e-01 -3.215149e-01 -8.876373e-03 -8.876373e-03 0.000000e+00
2.850143e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.385830e-01 -3.385830e-01 -3.214201e-01 -3.214201e-01 -8.972058e-03 -8.972058e-03 0.000000e+00
2.900145e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.386771e-01 -3.386771e-01 -3.213263e-01 -3.213263e-01 -9.066791e-03 -9.066791e-03 0.000000e+00
2.950148e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.387702e-01 -3.387702e-01 -3.212333e-01 -3.212333e-01 -9.160600e-03 -9.160600e-03 0.000000e+00
3.000150e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.388625e-01 -3.388625e-01 -3.211412e-01 -3.211412e-01 -9.253507e-03 -9.253507e-03 0.000000e+00
3.050153e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.389539e-01 -3.389539e-01 -3.210500e-01 -3.210500e-01 -9.345537e-03 -9.345537e-03 0.000000e+00
3.100155e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.390444e-01 -3.390444e-01 -3.209595e-01 -3.209595e-01 -9.436710e-03 -9.436710e-03 0.000000e+00
3.150158e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.391342e-01 -3.391342e-01 -3.208699e-01 -3.208699e-01 -9.527048e-03 -9.527048e-03 0.000000e+00
3.200160e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.392232e-01 -3.392232e-01 -3.207811e-01 -3.207811e-01 -9.616571e-03 -9.616571e-03 0.000000e+00
3.250163e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.393114e-01 -3.393114e-01 -3.206931e-01 -3.206931e-01 -9.705296e-03 -9.705296e-03 0.000000e+00
3.300165e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.393989e-01 -3.393989e-01 -3.206058e-01 -3.206058e-01 -9.793244e-03 -9.793244e-03 0.000000e+00
3.350168e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.394856e-01 -3.394856e-01 -3.205192e-01 -3.205192e-01 -9.880434e-03 -9.880434e-03 0.000000e+00
3.400170e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.395716e-01 -3.395716e-01 -3.204334e-01 -3.204334e-01 -9.966884e-03 -9.966884e-03 0.000000e+00
3.450173e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.396568e-01 -3.396568e-01 -3.203482e-01 -3.203482e-01 -1.005261e-02 -1.005261e-02 0.000000e+00
3.500175e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.397414e-01 -3.397414e-01 -3.202638e-01 -3.202638e-01 -1.013763e-02 -1.013763e-02 0.000000e+00
3.550178e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.398253e-01 -3.398253e-01 -3.201800e-01 -3.201800e-01 -1.022196e-02 -1.022196e-02 0.000000e+00
3.600180e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.399086e-01 -3.399086e-01 -3.200969e-01 -3.200969e-01 -1.030561e-02 -1.030561e-02 0.000000e+00
3.650183e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.399912e-01 -3.399912e-01 -3.200144e-01 -3.200144e-01 -1.038860e-02 -1.038860e-02 0.000000e+00
3.700185e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.400732e-01 -3.400732e-01 -3.199326e-01 -3.199326e-01 -1.047094e-02 -1.047094e-02 0.000000e+00
3.750188e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.401545e-01 -3.401545e-01 -3.198513e-01 -3.198513e-01 -1.055265e-02 -1.055265e-02 0.000000e+00
3.800190e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.402353e-01 -3.402353e-01 -3.197707e-01 -3.197707e-01 -1.063374e-02 -1.063374e-02 0.000000e+00
3.850193e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.403154e-01 -3.403154e-01 -3.196907e-01 -3.196907e-01 -1.071421e-02 -1.071421e-02 0.000000e+00
3.900195e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.403949e-01 -3.403949e-01 -3.196113e-01 -3.196113e-01 -1.079409e-02 -1.079409e-02 0.000000e+00
3.950198e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.404739e-01 -3.404739e-01 -3.195324e-01 -3.195324e-01 -1.087338e-02 -1.087338e-02 0.000000e+00
4.000200e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.405523e-01 -3.405523e-01 -3.194541e-01 -3.194541e-01 -1.095209e-02 -1.095209e-02 0.000000e+00
4.050203e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.406302e-01 -3.406302e-01 -3.193764e-01 -3.193764e-01 -1.103025e-02 -1.103025e-02 0.000000e+00
4.100205e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.407075e-01 -3.407075e-01 -3.192992e-01 -3.192992e-01 -1.110785e-02 -1.110785e-02 0.000000e+00
4.150208e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.407843e-01 -3.407843e-01 -3.192225e-01 -3.192225e-01 -1.118491e-02 -1.118491e-02 0.000000e+00
4.200210e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.408605e-01 -3.408605e-01 -3.191464e-01 -3.191464e-01 -1.126145e-02 -1.126145e-02 0.000000e+00
4.250213e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.409363e-01 -3.409363e-01 -3.190707e-01 -3.190707e-01 -1.133746e-02 -1.133746e-02 0.000000e+00
4.300215e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.410115e-01 -3.410115e-01 -3.189956e-01 -3.189956e-01 -1.141297e-02 -1.141297e-02 0.000000e+00
4.350218e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.410863e-01 -3.410863e-01 -3.189209e-01 -3.189209e-01 -1.148798e-02 -1.148798e-02 0.000000e+00
4.400220e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.411606e-01 -3.411606e-01 -3.188467e-01 -3.188467e-01 -1.156250e-02 -1.156250e-02 0.000000e+00
4.450223e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.412344e-01 -3.412344e-01 -3.187730e-01 -3.187730e-01 -1.163654e-02 -1.163654e-02 0.000000e+00
4.500225e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.413077e-01 -3.413077e-01 -3.186998e-01 -3.186998e-01 -1.171011e-02 -1.171011e-02 0.000000e+00
4.550228e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.413806e-01 -3.413806e-01 -3.186270e-01 -3.186270e-01 -1.178320e-02 -1.178320e-02 0.000000e+00
4.600230e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.414530e-01 -3.414530e-01 -3.185547e-01 -3.185547e-01 -1.185584e-02 -1.185584e-02 0.000000e+00
4.650233e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.415249e-01 -3.415249e-01 -3.184828e-01 -3.184828e-01 -1.192802e-02 -1.192802e-02 0.000000e+00
4.700235e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.415965e-01 -3.415965e-01 -3.184114e-01 -3.184114e-01 -1.199976e-02 -1.199976e-02 0.000000e+00
4.750238e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.416676e-01 -3.416676e-01 -3.183403e-01 -3.183403e-01 -1.207106e-02 -1.207106e-02 0.000000e+00
4.800240e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.417382e-01 -3.417382e-01 -3.182697e-01 -3.182697e-01 -1.214194e-02 -1.214194e-02 0.000000e+00
4.850243e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.418085e-01 -3.418085e-01 -3.181996e-01 -3.181996e-01 -1.221239e-02 -1.221239e-02 0.000000e+00
4.900245e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.418783e-01 -3.418783e-01 -3.181298e-01 -3.181298e-01 -1.228243e-02 -1.228243e-02 0.000000e+00
4.950248e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.419478e-01 -3.419478e-01 -3.180604e-01 -3.180604e-01 -1.235207e-02 -1.235207e-02 0.000000e+00
5.000250e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.420168e-01 -3.420168e-01 -3.179914e-01 -3.179914e-01 -1.242131e-02 -1.242131e-02 0.000000e+00
5.050253e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.420855e-01 -3.420855e-01 -3.179228e-01 -3.179228e-01 -1.249015e-02 -1.249015e-02 0.000000e+00
5.100255e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.421538e-01 -3.421538e-01 -3.178546e-01 -3.178546e-01 -1.255861e-02 -1.255861e-02 0.000000e+00
5.150258e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.422217e-01 -3.422217e-01 -3.177868e-01 -3.177868e-01 -1.262668e-02 -1.262668e-02 0.000000e+00
5.200260e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.422892e-01 -3.422892e-01 -3.177193e-01 -3.177193e-01 -1.269439e-02 -1.269439e-02 0.000000e+00
5.250263e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.423564e-01 -3.423564e-01 -3.176522e-01 -3.176522e-01 -1.276172e-02 -1.276172e-02 0.000000e+00
5.300265e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.424232e-01 -3.424232e-01 -3.175855e-01 -3.175855e-01 -1.282870e-02 -1.282870e-02 0.000000e+00
5.350268e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.424896e-01 -3.424896e-01 -3.175191e-01 -3.175191e-01 -1.289532e-02 -1.289532e-02 0.000000e+00
5.400270e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.425557e-01 -3.425557e-01 -3.174530e-01 -3.174530e-01 -1.296159e-02 -1.296159e-02 0.000000e+00
5.450273e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.426215e-01 -3.426215e-01 -3.173873e-01 -3.173873e-01 -1.302751e-02 -1.302751e-02 0.000000e+00
5.500275e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.426869e-01 -3.426869e-01 -3.173219e-01 -3.173219e-01 -1.309310e-02 -1.309310e-02 0.000000e+00
5.550278e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.427520e-01 -3.427520e-01 -3.172569e-01 -3.172569e-01 -1.315835e-02 -1.315835e-02 0.000000e+00
5.600280e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.428168e-01 -3.428168e-01 -3.171922e-01 -3.171922e-01 -1.322326e-02 -1.322326e-02 0.000000e+00
5.650283e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.428812e-01 -3.428812e-01 -3.171278e-01 -3.171278e-01 -1.328785e-02 -1.328785e-02 0.000000e+00
5.700285e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.429453e-01 -3.429453e-01 -3.170637e-01 -3.170637e-01 -1.335211e-02 -1.335211e-02 0.000000e+00
5.750288e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.430091e-01 -3.430091e-01 -3.169999e-01 -3.169999e-01 -1.341606e-02 -1.341606e-02 0.000000e+00
5.800290e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.430726e-01 -3.430726e-01 -3.169365e-01 -3.169365e-01 -1.347969e-02 -1.347969e-02 0.000000e+00
5.850293e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.431358e-01 -3.431358e-01 -3.168734e-01 -3.168734e-01 -1.354301e-02 -1.354301e-02 0.000000e+00
5.900295e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.431987e-01 -3.431987e-01 -3.168105e-01 -3.168105e-01 -1.360603e-02 -1.360603e-02 0.000000e+00
5.950298e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.432613e-01 -3.432613e-01 -3.167480e-01 -3.167480e-01 -1.366875e-02 -1.366875e-02 0.000000e+00
6.000300e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.433236e-01 -3.433236e-01 -3.166857e-01 -3.166857e-01 -1.373117e-02 -1.373117e-02 0.000000e+00
6.050303e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.433856e-01 -3.433856e-01 -3.166238e-01 -3.166238e-01 -1.379330e-02 -1.379330e-02 0.000000e+00
6.100305e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.434473e-01 -3.434473e-01 -3.165621e-01 -3.165621e-01 -1.385515e-02 -1.385515e-02 0.000000e+00
6.150308e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.435087e-01 -3.435087e-01 -3.165007e-01 -3.165007e-01 -1.391671e-02 -1.391671e-02 0.000000e+00
6.200310e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.435699e-01 -3.435699e-01 -3.164396e-01 -3.164396e-01 -1.397799e-02 -1.397799e-02 0.000000e+00
6.250313e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.436307e-01 -3.436307e-01 -3.163787e-01 -3.163787e-01 -1.403899e-02 -1.403899e-02 0.000000e+00
6.300315e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.436913e-01 -3.436913e-01 -3.163181e-01 -3.163181e-01 -1.409973e-02 -1.409973e-02 0.000000e+00
6.350318e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.437517e-01 -3.437517e-01 -3.162578e-01 -3.162578e-01 -1.416019e-02 -1.416019e-02 0.000000e+00
6.400320e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.438118e-01 -3.438118e-01 -3.161978e-01 -3.161978e-01 -1.422039e-02 -1.422039e-02 0.000000e+00
6.450323e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.438716e-01 -3.438716e-01 -3.161380e-01 -3.161380e-01 -1.428033e-02 -1.428033e-02 0.000000e+00
6.500325e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.439311e-01 -3.439311e-01 -3.160784e-01 -3.160784e-01 -1.434001e-02 -1.434001e-02 0.000000e+00
6.550328e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.439904e-01 -3.439904e-01 -3.160192e-01 -3.160192e-01 -1.439943e-02 -1.439943e-02 0.000000e+00
6.600330e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.440495e-01 -3.440495e-01 -3.159601e-01 -3.159601e-01 -1.445861e-02 -1.445861e-02 0.000000e+00
6.650333e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.441083e-01 -3.441083e-01 -3.159013e-01 -3.159013e-01 -1.451753e-02 -1.451753e-02 0.000000e+00
6.700335e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.441669e-01 -3.441669e-01 -3.158428e-01 -3.158428e-01 -1.457621e-02 -1.457621e-02 0.000000e+00
6.750338e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.442252e-01 -3.442252e-01 -3.157845e-01 -3.157845e-01 -1.463465e-02 -1.463465e-02 0.000000e+00
6.800340e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.442833e-01 -3.442833e-01 -3.157264e-01 -3.157264e-01 -1.469285e-02 -1.469285e-02 0.000000e+00
6.850343e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.443411e-01 -3.443411e-01 -3.156686e-01 -3.156686e-01 -1.475081e-02 -1.475081e-02 0.000000e+00
6.900345e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.443987e-01 -3.443987e-01 -3.156110e-01 -3.156110e-01 -1.480854e-02 -1.480854e-02 0.000000e+00
6.950348e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.444561e-01 -3.444561e-01 -3.155536e-01 -3.155536e-01 -1.486603e-02 -1.486603e-02 0.000000e+00
7.000350e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.445133e-01 -3.445133e-01 -3.154965e-01 -3.154965e-01 -1.492330e-02 -1.492330e-02 0.000000e+00
7.050353e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.445702e-01 -3.445702e-01 -3.154395e-01 -3.154395e-01 -1.498035e-02 -1.498035e-02 0.000000e+00
7.100355e-01 -1.000000e+00 -6.600000e-01 -6.600000e-01 -3.446269e-01 -3.446269e-01 -3.153828e-01 -3.153828e-01 -1.503717e-02 -1.503717e-02 0.000000e+00
